STORE|CASH_MACHINE|CASHIER|BUSINESS_DATE|OPEN_DATETIME
1| 1|SUSY SUSY|13/01/2022|
1| 1|SUSY SUSY|14/01/2022|
1| 1|JENNY JENNY|14/01/2022|
1| 1|JENNY JENNY|15/01/2022|
1| 1|JENNY JENNY|17/01/2022|
1| 1|SUSY SUSY|18/01/2022|
1| 1|JENNY JENNY|19/01/2022|
1| 1|JENNY JENNY|21/01/2022|
1| 1|SUSY SUSY|22/01/2022|
1| 1|JENNY JENNY|24/01/2022|
1| 1|JENNY JENNY|25/01/2022|
1| 1|SUSY SUSY|26/01/2022|
1| 1|JENNY JENNY|28/01/2022|
1| 1|JENNY JENNY|29/01/2022|
1| 1|SUSY SUSY|31/01/2022|
